Title,Release Year,Duration,Director,Actor 1,Actor 2,Genre
"I, You, He, She",1974,90 min.,Chantal Akerman,Chantal Akerman,Niels Arestrup,Drama
Tangerines,2013,87 min.,Zaza Urushadze,Misha Meskhi,Giorgi Nakashidze,Drama
Valley of the Dolls,1967,123 min.,Mark Robson,Sharon Tate,Patty Duke,Based-on-20th-Century-Literature
The Ear,1970,94 min.,Karel Kachyna,Jirina Bohdalová,Radoslav Brzobohaty,Czechoslovak New Wave
Chinese Roulette,1976,96 min.,Rainer Werner Fassbinder,Anna Karina,Margit Carstensen,Drama
The Housemaid,2010,107 min.,Sang-soo Im,Do-yeon Jeon,Jung-Jae Lee,Drama
The Impostors,1998,101 min.,Stanley Tucci,Oliver Platt,Tony Shalhoub,Comedy
Nayak,1966,120 min.,Satyajit Ray,Uttam Kumar,Sharmila Tagore,Drama
Histoire(s) du cinéma,1998,266 min.,Jean-Luc Godard,Jean-Luc Godard,Julie Delpy,Documentary
My Sister's Keeper,2009,109 min.,Nick Cassavetes,Alec Baldwin,Cameron Diaz,Courtroom Drama
The Bulleteers,1942,8 min.,Dave Fleischer,Bud Collyer,Joan Alexander,Animation
"Black God, White Devil",1964,120 min.,Glauber Rocha,Othon Bastos,Geraldo del Ray,Adventure Drama
Contraband,2012,110 min.,Baltasar Kormákur,Mark Wahlberg,Kate Beckinsale,Action
Panique,1946,91 min.,Julien Duvivier,Viviane Romance,Michel Simon,Crime Drama
Pushover,1954,88 min.,Richard Quine,Fred MacMurray,Philip Carey,Crime Drama
Nowhere to Run,1993,94 min.,Robert Harmon,Joss Ackland,Ted Levine,Action
The Scar,1948,83 min.,Steve Sekely,Paul Henreid,Eduard Franz,Crime Thriller
Groove,2000,78 min.,Greg Harrison,Lola Glaudini,MacKenzie Firgens,Drama
The Property Man,1914,31 min.,Charles Chaplin,Charles Chaplin,Phyllis Allen,Comedy
Silent Rage,1982,103 min.,Michael Miller,Chuck Norris,Toni Kalem,Action
Raintree County,1957,168 min.,Edward Dmytryk,Montgomery Clift,Eva Marie Saint,Drama
Bambi Meets Godzilla,1969,2 min.,Marv Newland,,,Animation
Irrational Man,2015,96 min.,Woody Allen,Jamie Blackley,Joaquin Phoenix,Black Comedy
Plane Crazy,1928,6 min.,"Walt Disney, Ub Iwerks",Walt Disney,,Animation
Happythankyoumoreplease,2010,100 min.,Josh Radnor,Josh Radnor,Kate Mara,Comedy Drama
"Billy Blazes, Esq.",1919,13 min.,Hal Roach,Harold Lloyd,Bebe Daniels,Comedy
Incident at Loch Ness,2004,94 min.,Zak Penn,Werner Herzog,Zak Penn,Comedy
The Flash,2023,144 min.,Andy Muschietti,Ezra Miller,Michael Keaton,Action
The Little Rascals,1994,82 min.,Penelope Spheeris,Kevin Jamal Woods,Zachary Mabry,Comedy
Billion Dollar Brain,1967,111 min.,Ken Russell,Michael Caine,Karl Malden,Action
Trauma,1993,106 min.,Dario Argento,Christopher Rydell,Asia Argento,Foreign Language Film
Noah,2014,138 min.,Darren Aronofsky,Russell Crowe,Jennifer Connelly,Adventure Drama
Children Who Chase Lost Voices From Deep Below,2011,116 min.,Makoto Shinkai,Hisako Kanemoto,Kazuhiko Inoue,Adventure
Scream,1981,82 min.,Byron Quisenberry,Pepper Martin,Hank Worden,Horror
Boys on the Side,1995,115 min.,Herbert Ross,Whoopi Goldberg,Mary-Louise Parker,Buddy Film
An Innocent Man,1989,113 min.,Peter Yates,David Rasche,Tom Selleck,Drama
Ladies They Talk About,1933,69 min.,"Howard Bretherton, William Keighley",Preston S. Foster,Dorothy Burgess,Based-on-Theatre
The Rise & Fall Of ECW,2004,360 min.,Kevin Dunn,Kurt Angle,Steve Austin,Documentary
New York: Broadway at Union Square,1896,1 min.,Alexandre Promio,,,Documentary
Midnight Lace,1960,110 min.,David Miller,Doris Day,Rex Harrison,Film Noir
Blackadder Back & Forth,1999,33 min.,Paul Weiland,Rowan Atkinson,Tony Robinson,Comedy
American Ninja,1985,95 min.,Sam Firstenberg,Steve James,Judie Aronson,Action
Decision at Sundown,1957,77 min.,Budd Boetticher,Randolph Scott,John Carroll,Action
Midnight Mass,2021,448 min.,Mike Flanagan,Hamish Linklater,Kate Siegel,Addiction Drama
The Interpreter,2005,128 min.,Sydney Pollack,Nicole Kidman,Sean Penn,Paranoid Thriller
The Big Doll House,1971,95 min.,Jack Hill,Sid Haig,Pam Grier,Action
Watermelon Man,1970,100 min.,Melvin Van Peebles,Godfrey Cambridge,Estelle Parsons,Comedy of Manners
Fighting Elegy,1966,86 min.,Seijun Suzuki,Hideki Takahashi,Yûsuke Kawazu,Absurd Comedy
Fritz the Cat,1972,79 min.,Ralph Bakshi,John McCurry,Judy Engles,Animation
Night Falls on Manhattan,1997,118 min.,Sidney Lumet,Andy Garcia,Lena Olin,Drama
A Fool There Was,1915,67 min.,Frank Powell,Theda Bara,Edward Jose,Drama
Mama,2013,100 min.,Andy Muschietti,Jessica Chastain,Nikolaj Coster-Waldau,Ghost Film
Dead Snow: Red vs. Dead,2014,100 min.,Tommy Wirkola,Vegar Hoel,Stig Frode Henriksen,Action
Robot Chicken: Star Wars Episode III,2010,48 min.,Chris McKay,Seth Green,Abraham Benrubi,Animation
Candleshoe,1977,101 min.,Norman Tokar,David Niven,Helen Hayes,Adventure
Crazy People,1990,90 min.,Tony Bill,Dudley Moore,Daryl Hannah,Comedy
The Street with No Name,1948,91 min.,William Keighley,Mark Stevens,Richard Widmark,Crime Thriller
Queen & Slim,2019,132 min.,Melina Matsoukas,Daniel Kaluuya,Jodie Turner-Smith,Crime Drama
Jacknife,1989,102 min.,David Hugh Jones,Robert De Niro,Ed Harris,Drama
Hold Back the Dawn,1941,116 min.,Mitchell Leisen,Charles Boyer,Olivia de Havilland,Drama
Something to Talk About,1995,106 min.,Lasse Hallström,Julia Roberts,Robert Duvall,Comedy Drama
